date,cmax,cmin,PRCP,SNWD,SNOW
01/01/1936,17,-61,0,0,0
01/02/1936,17,-61,53,0,0
01/03/1936,122,17,353,0,0
01/04/1936,78,17,0,0,0
01/05/1936,61,6,229,0,0
01/06/1936,44,-6,13,0,0
01/07/1936,50,0,15,0,3
01/08/1936,44,-22,0,0,0
01/09/1936,39,-17,56,0,0
01/10/1936,67,28,152,0,0
01/11/1936,61,11,0,0,0
01/12/1936,56,0,3,0,3
01/13/1936,100,0,23,0,0
01/14/1936,22,-33,0,0,0
01/15/1936,100,-22,269,0,0
01/16/1936,78,-17,0,0,0
01/17/1936,6,-83,0,0,0
01/18/1936,17,-94,89,76,64
01/19/1936,-17,-83,371,279,254
01/20/1936,-33,-89,0,254,0
01/21/1936,-22,-94,0,203,0
01/22/1936,33,-61,0,203,0
01/23/1936,50,-128,3,178,0
01/24/1936,-78,-139,0,152,5842
01/25/1936,-39,-128,0,127,5842
01/26/1936,-28,-139,0,127,0
01/27/1936,-83,-122,8,127,8
01/28/1936,-56,-133,5,127,5
01/29/1936,-39,-128,0,127,5842
01/30/1936,-50,-156,0,102,0
01/31/1936,-44,-150,0,102,0
02/01/1936,-50,-133,0,102,5842
02/02/1936,-78,-128,0,102,5842
02/03/1936,-33,-139,0,102,0
02/04/1936,28,-61,66,102,13
02/05/1936,17,-106,0,102,0
02/06/1936,-44,-133,0,102,0
02/07/1936,-72,-117,0,102,0
02/08/1936,-33,-144,0,102,0
02/09/1936,17,-100,64,152,51
02/10/1936,-61,-139,0,152,0
02/11/1936,-50,-139,0,127,0
02/12/1936,-39,-100,0,127,0
02/13/1936,-50,-94,5,127,0
02/14/1936,-11,-72,371,356,231
02/15/1936,0,-67,0,305,0
02/16/1936,11,-56,3,279,0
02/17/1936,33,11,330,152,0
02/18/1936,44,-144,86,127,25
02/19/1936,-89,-156,0,127,0
02/20/1936,-33,-133,0,127,0
02/21/1936,-6,-117,0,127,0
02/22/1936,-22,-89,0,127,0
02/23/1936,0,-100,0,127,0
02/24/1936,0,-94,0,102,0
02/25/1936,33,-11,3,102,0
02/26/1936,78,22,0,76,0
02/27/1936,39,6,3,51,0
02/28/1936,39,-56,0,51,0
02/29/1936,28,-72,0,25,0
03/01/1936,6,-50,0,25,0
03/02/1936,-6,-89,0,25,0
03/03/1936,22,-11,178,25,69
03/04/1936,94,-11,0,0,0
